x,y,yaw
-2.44,-6.859999999999999,-0.5880026035475662
-2.29,-6.959999999999999,0.0
-2.29,-6.959999999999999,-0.7853981633974505
-2.19,-7.06,0.0
-2.14,-7.06,0.0
-2.09,-7.06,-0.7853981633974483
-2.04,-7.109999999999999,0.0
-1.9899999999999998,-7.109999999999999,0.0
-1.94,-7.109999999999999,0.0
-1.8899999999999997,-7.109999999999999,0.0
-1.8399999999999999,-7.109999999999999,-0.7853981633974483
-1.79,-7.159999999999999,0.0
-1.7399999999999998,-7.159999999999999,0.0
-1.69,-7.159999999999999,0.0
-1.6399999999999997,-7.159999999999999,0.0
-1.5899999999999999,-7.159999999999999,-0.7853981633974483
-1.54,-7.209999999999999,0.0
-1.4899999999999998,-7.209999999999999,0.0
-1.44,-7.209999999999999,0.0
-1.3899999999999997,-7.209999999999999,-0.7853981633974572
-1.3399999999999999,-7.26,0.0
-1.29,-7.26,0.0
-1.2399999999999998,-7.26,-0.7853981633974483
-1.19,-7.31,0.0
-1.1399999999999997,-7.31,0.0
-1.0899999999999999,-7.31,0.0
-1.04,-7.31,-0.7853981633974438
-0.9899999999999998,-7.359999999999999,0.0
-0.94,-7.359999999999999,0.0
-0.8899999999999997,-7.359999999999999,0.0
-0.8399999999999999,-7.359999999999999,0.0
-0.79,-7.359999999999999,-0.7853981633974438
-0.7399999999999998,-7.409999999999999,0.0
-0.69,-7.409999999999999,0.7853981633974438
-0.6399999999999997,-7.359999999999999,0.0
-0.5899999999999999,-7.359999999999999,0.0
-0.54,-7.359999999999999,0.7853981633974438
-0.48999999999999977,-7.31,0.0
-0.43999999999999995,-7.31,0.7853981633974438
-0.3899999999999997,-7.26,0.0
-0.33999999999999986,-7.26,0.6435011087932851
-0.13999999999999968,-7.109999999999999,0.0
-0.13999999999999968,-7.109999999999999,0.7853981633974483
0.0600000000000005,-6.909999999999999,1.1071487177940904
0.11000000000000032,-6.81,0.0
0.11000000000000032,-6.81,0.7853981633974527
0.20999999999999996,-6.709999999999999,1.5707963267948966
0.20999999999999996,-6.659999999999999,1.5707963267948966
0.20999999999999996,-6.559999999999999,0.0
0.20999999999999996,-6.559999999999999,1.1071487177940904
0.2599999999999998,-6.459999999999999,0.7853981633974394
0.3100000000000005,-6.409999999999999,1.5707963267948966
0.3100000000000005,-6.359999999999999,0.7853981633974572
0.3600000000000003,-6.309999999999999,1.5707963267948966
0.3600000000000003,-6.26,0.7853981633974572
0.41000000000000014,-6.209999999999999,1.5707963267948966
0.41000000000000014,-6.159999999999999,1.5707963267948966
0.41000000000000014,-6.109999999999999,1.5707963267948966
0.41000000000000014,-6.059999999999999,1.5707963267948966
0.41000000000000014,-6.01,1.5707963267948966
0.41000000000000014,-5.959999999999999,1.5707963267948966
0.41000000000000014,-5.909999999999999,1.5707963267948966
0.41000000000000014,-5.859999999999999,0.7853981633974572
0.45999999999999996,-5.809999999999999,1.5707963267948966
0.45999999999999996,-5.76,1.5707963267948966
0.45999999999999996,-5.709999999999999,1.5707963267948966
0.45999999999999996,-5.659999999999999,1.5707963267948966
0.45999999999999996,-5.609999999999999,1.5707963267948966
0.45999999999999996,-5.559999999999999,1.5707963267948966
0.45999999999999996,-5.51,1.5707963267948966
0.45999999999999996,-5.459999999999999,1.5707963267948966
0.45999999999999996,-5.409999999999999,1.5707963267948966
0.45999999999999996,-5.359999999999999,1.5707963267948966
0.45999999999999996,-5.309999999999999,0.7853981633974305
0.5100000000000007,-5.26,1.5707963267948966
0.5100000000000007,-5.209999999999999,1.5707963267948966
0.5100000000000007,-5.159999999999999,1.5707963267948966
0.5100000000000007,-5.109999999999999,1.5707963267948966
0.5100000000000007,-5.059999999999999,1.5707963267948966
0.5100000000000007,-5.01,1.5707963267948966
0.5100000000000007,-4.959999999999999,1.5707963267948966
0.5100000000000007,-4.909999999999999,1.5707963267948966
0.5100000000000007,-4.859999999999999,1.5707963267948966
0.5100000000000007,-4.809999999999999,1.5707963267948966
0.5100000000000007,-4.76,1.5707963267948966
0.5100000000000007,-4.709999999999999,1.5707963267948966
0.5100000000000007,-4.659999999999999,1.5707963267948966
0.5100000000000007,-4.609999999999999,1.5707963267948966
0.5100000000000007,-4.56,1.5707963267948966
0.5100000000000007,-4.509999999999999,1.5707963267948966
0.5100000000000007,-4.459999999999999,1.5707963267948966
0.5100000000000007,-4.409999999999999,1.5707963267948966
0.5100000000000007,-4.359999999999999,1.5707963267948966
0.5100000000000007,-4.31,1.5707963267948966
0.5100000000000007,-4.259999999999999,1.5707963267948966
0.5100000000000007,-4.209999999999999,1.5707963267948966
0.5100000000000007,-4.159999999999999,2.3561944901923537
0.45999999999999996,-4.109999999999999,1.5707963267948966
